pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,896.15546
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,903.5139
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,922.9933
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,924.85895
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,907.65137
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,910.6364
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,909.78973
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,896.15546
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,903.5139
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,922.9933
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,924.85895
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,907.65137
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,910.6364
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,909.78973
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,896.15546
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,903.5139
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,922.9933
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,924.85895
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,907.65137
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,910.6364
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,909.78973
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,896.15546
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,903.5139
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,922.9933
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,924.85895
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,907.65137
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,910.6364
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,909.78973
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,896.15546
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,903.5139
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,922.9933
